Build No.,CPU,Motherboard,RAM,GPU,PSU
495,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
496,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
497,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1200 W
498,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-6800,RTX 4090,1000 W
499,AMD Ryzen 9 7950X,X670E-F,64 GB (2 x 32 GB) DDR5-5200,RTX 4080,850 W
500,AMD Ryzen 7 7700X,B650E-I,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
501,AMD Ryzen 9 7900X,B650,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1000 W
502,AMD Ryzen 7 7700X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,750 W
503,AMD Ryzen 7 7700X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
504,Intel Core i7-13700KF,B760-I,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,750 W
505,Intel Core i7-13700KF,Z790-PLUS,64 GB (2 x 32 GB) DDR4-3600,RTX 4080,1000 W
506,AMD Ryzen 9 7950X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
507,AMD Ryzen 7 7700X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
508,Intel Core i5-13600KF,Z790,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1000 W
509,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
510,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1500 W
511,AMD Ryzen 9 7950X,X670E-PLUS,64 GB (2 x 32 GB) DDR5-6000,RTX 4070 Ti,1500 W
512,AMD Ryzen 7 7700X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1500 W
513,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
514,AMD Ryzen 9 7950X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
515,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
516,AMD Ryzen 9 7950X,X670E-E,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1000 W
517,AMD Ryzen 9 7950X,X670E-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
518,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
519,AMD Ryzen 9 7900X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
520,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
521,Intel Core i5-13600KF,Z790-PLUS,32 GB (2 x 16 GB) DDR5-6200,RTX 4080,850 W
522,AMD Ryzen 9 7900X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
523,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
524,Intel Core i7-13700KF,Z690,32 GB (4 x 8 GB) DDR4-3600,RTX 4070 Ti,850 W
525,AMD Ryzen 7 7700X,X670E-PRO,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1200 W
526,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,1000 W
527,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
528,AMD Ryzen 9 7900X,X670E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
529,AMD Ryzen 9 7900X,B650I,64 GB (2 x 32 GB) DDR5-5200,RTX 4070 Ti,850 W
530,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
531,AMD Ryzen 7 7700X,B650E-F,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
532,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
533,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6200,RTX 4080,850 W
534,Intel Core i5-13600KF,Z690,16 GB (2 x 8 GB) DDR4-3600,RTX 4070 Ti,850 W
535,AMD Ryzen 5 5600X,B550M-ITX/ac,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,650 W
536,AMD Ryzen 9 7950X,X670E-CREATOR,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
537,AMD Ryzen 7 7700X,X670E-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
538,Intel Core i5-13600KF,Z790-P,32 GB (4 x 8 GB) DDR4-3600,RTX 4070 Ti,1000 W
539,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
540,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
541,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
542,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
543,Intel Core i7-13700KF,Z790-PLUS,32 GB (4 x 8 GB) DDR4-3200,RTX 4090,1200 W
544,AMD Ryzen 9 7950X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
545,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
546,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
547,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
548,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
549,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1200 W
550,AMD Ryzen 9 7950X,B650,32 GB (2 x 16 GB) DDR5-6600,RTX 4080,1300 W
551,AMD Ryzen 9 7950X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
552,Intel Core i5-13600KF,B660M,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
553,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
554,AMD Ryzen 7 7700X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
555,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
556,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
557,AMD Ryzen 7 7700X,B650E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
558,AMD Ryzen 7 7700X,B650I,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
559,Intel Core i5-13600KF,Z690M,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,1000 W
560,Intel Core i7-13700KF,B760-I,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
561,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6200,RTX 4080,1200 W
562,AMD Ryzen 7 7700X,X670E-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
563,Intel Core i7-13700KF,Z690I,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
564,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1200 W
565,AMD Ryzen 9 7900X,X670E-PRO,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
566,AMD Ryzen 9 7900X,X670,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
567,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
568,AMD Ryzen 9 7900X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,1000 W
569,Intel Core i5-13600KF,Z790-A,16 GB (2 x 8 GB) DDR4-3600,RTX 4070 Ti,850 W
570,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
571,Intel Core i5-13600KF,Z790-P,32 GB (2 x 16 GB) DDR4-3600,RTX 4090,1000 W
572,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
573,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
574,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,850 W
575,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
576,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
577,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
578,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
579,AMD Ryzen 5 5600X,B550I,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,550 W
580,AMD Ryzen 9 7900X,X670-P,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
581,AMD Ryzen 9 7950X,X670E-A,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
582,AMD Ryzen 9 7950X,X670E-E,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1600 W
583,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
584,AMD Ryzen 9 7900X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1500 W
585,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
586,AMD Ryzen 7 7700X,X670E-E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
587,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
588,AMD Ryzen 9 7900X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
589,AMD Ryzen 9 7950X,X670E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
590,AMD Ryzen 7 7700X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
591,AMD Ryzen 7 7700X,X670E-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
592,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
593,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
594,AMD Ryzen 9 7900X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
595,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
596,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,1200 W
597,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1500 W
598,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1650 W
599,AMD Ryzen 9 7900X,X670E-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,1000 W
600,AMD Ryzen 9 7950X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
601,Intel Core i5-13600KF,Z690I,32 GB (2 x 16 GB) DDR4-4000,RTX 4080,850 W
602,Intel Core i7-13700KF,Z690-A,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,750 W
603,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
604,AMD Ryzen 9 7950X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
605,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1300 W
606,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1500 W
607,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
608,AMD Ryzen 9 7950X,B650E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
609,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,1000 W
610,Intel Core i5-13600KF,Z690-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
611,AMD Ryzen 7 7700X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,750 W
612,AMD Ryzen 9 7950X,X670E-CREATOR,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
613,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
614,AMD Ryzen 7 7700X,X670E-CREATOR,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
615,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6400,RTX 4070 Ti,1000 W
616,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
617,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
618,AMD Ryzen 9 7950X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
619,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,1200 W
620,Intel Core i5-13600KF,B660-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
621,AMD Ryzen 7 7700X,X670E-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
622,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
623,AMD Ryzen 9 7900X,B650-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
624,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1000 W
625,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
626,AMD Ryzen 9 7950X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
627,AMD Ryzen 9 7950X,X670E-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
628,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
629,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
630,Intel Core i7-13700KF,Z69XT-W1,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,850 W
631,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
632,AMD Ryzen 5 5600X,B550-I,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,850 W
633,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
634,AMD Ryzen 9 7900X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
635,AMD Ryzen 7 7700X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
636,AMD Ryzen 7 7700X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
637,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
638,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,1200 W
639,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
640,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6600,RTX 4090,1000 W
641,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
642,AMD Ryzen 7 7700X,X670E-I,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1000 W
643,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1000 W
644,AMD Ryzen 9 7950X,B650E-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
645,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
646,Intel Core i7-13700KF,Z790,64 GB (2 x 32 GB) DDR5-5200,RTX 4080,1300 W
647,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
648,AMD Ryzen 9 7900X,X670,16 GB (2 x 8 GB) DDR5-6000,RTX 4080,1050 W
649,AMD Ryzen 5 5600X,B550-PLUS,16 GB (2 x 8 GB) DDR4-3200,RTX 4070 Ti,600 W
650,AMD Ryzen 9 7950X,X670-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
651,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
652,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
653,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
654,Intel Core i7-13700KF,Z790-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
655,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
656,AMD Ryzen 7 7700X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
657,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
658,AMD Ryzen 7 7700X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
659,AMD Ryzen 5 5600X,B550-PLUS,16 GB (2 x 8 GB) DDR4-3200,RTX 4080,850 W
660,Intel Core i7-13700KF,B660-I,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
661,AMD Ryzen 9 7950X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
662,AMD Ryzen 9 7950X,X670E-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,850 W
663,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,850 W
664,AMD Ryzen 7 7700X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
665,Intel Core i7-13700KF,Z690,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
666,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
667,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
668,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
669,AMD Ryzen 7 7700X,X670E-I,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,750 W
670,AMD Ryzen 9 7950X,X670E-E,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1350 W
671,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1300 W
672,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
673,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
674,AMD Ryzen 9 7950X,X670E-F,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
675,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
676,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1500 W
677,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
678,AMD Ryzen 5 5600,Gigabyte GA-AX370-Gaming K7 ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,750 W
679,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
680,AMD Ryzen 9 7900X,X670E-A,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,1300 W
681,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
682,AMD Ryzen 7 7700X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
683,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
684,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1300 W
685,AMD Ryzen 9 7950X,X670E-A,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,850 W
686,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
687,Intel Core i5-13600KF,Z690-A,32 GB (2 x 16 GB) DDR4-3600,RTX 4090,1000 W
688,Intel Core i7-13700KF,Z690-A,32 GB (2 x 16 GB) DDR4-3600,RTX 4090,1200 W
689,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1300 W
690,AMD Ryzen 9 7950X,X670E-E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1650 W
691,AMD Ryzen 9 7900X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1500 W
692,AMD Ryzen 9 7900X,X670E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
693,AMD Ryzen 5 5600X,B550-F,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
694,AMD Ryzen 5 5600X,B550-I,64 GB (2 x 32 GB) DDR4-3600,RTX 4090,750 W
695,AMD Ryzen 5 5600X,B550M,16 GB (2 x 8 GB) DDR4-3200,RTX 4070 Ti,650 W
696,AMD Ryzen 9 7900X,B650E-E,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1500 W
697,AMD Ryzen 7 7700X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,850 W
698,AMD Ryzen 9 7900X,B650E-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
699,AMD Ryzen 9 7950X,B650E-F,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
700,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-7200,RTX 4090,1000 W
701,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6400,RTX 4060 Ti,1000 W
702,AMD Ryzen 5 5600X,B550,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,600 W
703,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
704,AMD Ryzen 5 5600X,B450M,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
705,Intel Core i5-13600KF,B760M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
706,AMD Ryzen 5 5600,B550M,32 GB (2 x 16 GB) DDR4-4000,RTX 4070,750 W
707,Intel Core i5-13400F,B760M,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
708,AMD Ryzen 5 5600X,B550-A,16 GB (2 x 8 GB) DDR4-3200,RTX 4060 Ti,750 W
709,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
710,AMD Ryzen 5 5600,B450-PLUS,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,600 W
711,AMD Ryzen 9 7900X,X670E-A,64 GB (2 x 32 GB) DDR5-6000,RTX 4070 Ti,850 W
712,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
713,AMD Ryzen 9 7950X,B650I,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1200 W
714,AMD Ryzen 5 5600X,B450-I,16 GB (2 x 8 GB) DDR4-3600,RTX 4070,450 W
715,AMD Ryzen 9 7900X,B650E-I,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,750 W
716,AMD Ryzen 9 7950X,B650E-F,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1600 W
717,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
718,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
719,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
720,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
721,AMD Ryzen 5 5600X,B550,16 GB (2 x 8 GB) DDR4-3200,RTX 4070 Ti,850 W
722,Intel Core i5-13600KF,B760,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,850 W
723,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
724,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
725,AMD Ryzen 7 7700X,B650-A,32 GB (1 x 32 GB) DDR5-6000,RTX 4070,750 W
726,AMD Ryzen 9 7950X,B650-CREATOR,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
727,AMD Ryzen 9 7950X,X670E-PRO,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
728,AMD Ryzen 7 7700X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
729,AMD Ryzen 7 7700X,B650-A,32 GB (1 x 32 GB) DDR5-6000,RTX 4070,750 W
730,AMD Ryzen 9 7950X,B650-CREATOR,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
731,AMD Ryzen 7 7700X,B650M-A,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,650 W
732,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
733,Intel Core i5-13600KF,Z790-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
734,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
735,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
736,AMD Ryzen 9 7900X,B650E,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
737,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
738,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
739,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
740,AMD Ryzen 7 7700X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
741,AMD Ryzen 7 7700X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
742,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,850 W
