Build No.,CPU,Motherboard,RAM,GPU,PSU
81,AMD Ryzen 5 5600,B450,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,850 W
82,Intel Core i5-13400F,B760-I,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
83,Intel Core i7-13700KF,Z790-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
84,AMD Ryzen 9 7900X,B650-PLUS,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
85,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,1050 W
86,AMD Ryzen 9 7950X,X670-P,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
87,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
88,Intel Core i5-13600KF,Z790M-ITX,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
89,Intel Core i5-13400F,B760M,32 GB (2 x 16 GB) DDR4-3000,RTX 4060,800 W
90,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
91,AMD Ryzen 9 7900X,B650I,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
92,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
93,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
94,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,650 W
95,AMD Ryzen 9 7900X,B650,64 GB (2 x 32 GB) DDR5-6600,RTX 4070,750 W
96,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
97,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-7200,RTX 4070,850 W
98,AMD Ryzen 7 7700X,X670E-A,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1200 W
99,Intel Core i5-13400F,B760M-A,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,650 W
100,AMD Ryzen 7 7700X,B650-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
101,AMD Ryzen 5 5600X,B550M-E,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
102,AMD Ryzen 5 5600X,B550I,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,600 W
103,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
104,Intel Core i5-13400F,B760,32 GB (2 x 16 GB) DDR5-5200,RTX 4060 Ti,750 W
105,Intel Core i5-13600KF,B760,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,750 W
106,Intel Core i5-13400F,B760,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,650 W
107,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
108,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
109,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
110,Intel Core i5-13600KF,Z790-PLUS,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
111,Intel Core i5-13600KF,B760-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
112,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
113,Intel Core i5-13400F,B760,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
114,AMD Ryzen 7 7700X,B650-P,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
115,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
116,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
117,AMD Ryzen 5 5600,B550,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,650 W
118,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
119,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
120,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
121,AMD Ryzen 9 7900X,B650,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
122,AMD Ryzen 7 7700X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
123,AMD Ryzen 9 7900X,B650-PLUS,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
