Build_No.,CPU,Motherboard,RAM,GPU,PSU
72,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
73,Intel Core i9-12900KF,Gigabyte Z690 AERO G ATX LGA1700€286.93,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
74,AMD Ryzen 5 5600,Gigabyte B550M K Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
75,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
76,AMD Ryzen 9 7900X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
77,Intel Core i7-13700KF,Asus ROG STRIX Z790-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,750 W
78,AMD Ryzen 9 7950X,MSI MPG X670E CARBON WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
79,AMD Ryzen 5 5600X,MSI B450I GAMING PLUS AC Mini ITX AM4,16 GB (2 x 8 GB) DDR4-3000,RTX 4060,500 W
80,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,96 GB (2 x 48 GB) DDR5-6000,RTX 4090,1600 W
81,AMD Ryzen 5 5600,Gigabyte B450 I AORUS PRO WIFI Mini ITX,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,850 W
82,Intel Core i5-13400F,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700£163.99,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
83,Intel Core i7-13700KF,MSI PRO Z790-A MAX WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
84,AMD Ryzen 9 7900X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
85,Intel Core i5-13600KF,MSI MAG Z790 TOMAHAWK WIFI DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,1050 W
86,AMD Ryzen 9 7950X,MSI PRO X670-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
87,Intel Core i5-13600KF,ASRock Z790 PG LIGHTNING ATX LGA1700 215.00,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
88,Intel Core i5-13600KF,ASRock Z790M-ITX WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
89,Intel Core i5-13400F,Gigabyte B760M GAMING X AX DDR4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3000,RTX 4060,800 W
90,AMD Ryzen 5 5600X,MSI B550 GAMING GEN3 ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
91,AMD Ryzen 9 7900X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
92,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
93,AMD Ryzen 9 7900X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
94,Intel Core i5-13600KF,Gigabyte Z790 GAMING X AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,650 W
95,AMD Ryzen 9 7900X,MSI MPG B650 EDGE WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6600,RTX 4070,750 W
96,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
97,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-7200,RTX 4070,850 W
98,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1200 W
99,Intel Core i5-13400F,Asus PRIME B760M-A WIFI D4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,650 W
100,AMD Ryzen 7 7700X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
101,AMD Ryzen 5 5600X,Asus TUF GAMING B550M-E WIFI Micro ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
102,AMD Ryzen 5 5600X,Gigabyte B550I AORUS PRO AX Mini ITX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,600 W
103,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
104,Intel Core i5-13400F,MSI MAG B760 TOMAHAWK WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4060 Ti,750 W
105,Intel Core i5-13600KF,ASRock B760 Pro RS/D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,750 W
106,Intel Core i5-13400F,Gigabyte B760 GAMING X AX ATX LGA1700£162.47,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,650 W
107,Intel Core i7-13700KF,Gigabyte Z790 AERO G ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
108,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
109,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
110,Intel Core i5-13600KF,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
